date,stock_id,trade_volume,trade_value,transaction_count,source_url,source_month
2026-08-27,2317,42280355,10686071680,39090,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-28,2317,31847341,8078856908,28886,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-08-31,2317,35223300,8776917438,30653,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260801&stockNo=2317&response=csv,2026-08
2026-09-01,2317,34131729,8696647083,27530,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260901&stockNo=2317&response=csv,2026-09
2026-09-02,2317,29265369,7376850503,26847,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260901&stockNo=2317&response=csv,2026-09
2026-09-03,2317,29851493,7487526273,27353,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260901&stockNo=2317&response=csv,2026-09
2026-09-04,2317,49402342,12576410974,40906,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260901&stockNo=2317&response=csv,2026-09
2026-09-07,2317,34027046,8694860810,44030,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260901&stockNo=2317&response=csv,2026-09
2026-09-08,2317,40240647,10119470867,36634,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260901&stockNo=2317&response=csv,2026-09
2026-09-09,2317,21343799,5388667990,18134,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260901&stockNo=2317&response=csv,2026-09
